customer_id,first_name,last_name,date_of_birth,email,signup_date
CUST-20001,Jose,Moore,1991-10-11,jose.moore1@mail.com,2017-02-16
CUST-20002,Sandra,Flores,1992-09-06,sandra.flores2@mail.com,2016-01-21
CUST-20003,Jose,Rodriguez,1962-09-21,jose.rodriguez3@mail.com,2022-10-11
CUST-20004,Maria,Reyes,1985-07-17,maria.reyes4@mail.com,2021-11-26
CUST-20005,Sandra,Reyes,1951-05-07,sandra.reyes5@mail.com,2015-05-27
CUST-20006,Carlos,Gonzalez,,carlos.gonzalez6@mail.com,2019-12-10
CUST-20007,Andres,Hernandez,1996-07-28,andres.hernandez7@mail.com,2015-01-19
CUST-20008,Robert,Ramirez,2008-09-29,robert.ramirez8@mail.com,2024-06-03
CUST-20009,Robert,Wilson,1978-04-15,robert.wilson9@mail.com,2015-05-02
CUST-20010,Robert,Diaz,1959-09-07,robert.diaz10@mail.com,2019-05-03
CUST-20011,Robert,Garcia,1950-01-18,robert.garcia11@mail.com,2015-08-03
CUST-20012,Susan,Sanchez,1985-08-27,susan.sanchez12@mail.com,2017-03-24
CUST-20013,Michael,Perez,1957-10-26,,2019-08-07
CUST-20014,Linda,Lopez,1972-02-08,,2020-03-19
CUST-20015,Susan,Brown,2000-03-05,susan.brown15@mail.com,2023-03-17
CUST-20016,David,Miller,2007-10-02,david.miller16@mail.com,2017-05-21
CUST-20017,James,Wilson,2003-03-06,james.wilson17@mail.com,2017-05-13
CUST-20018,Sandra,Sanchez,2004-01-04,sandra.sanchez18@mail.com,2016-08-22
CUST-20019,Carlos,Ramirez,,carlos.ramirez19@mail.com,2024-04-23
CUST-20020,Jennifer,Sanchez,1956-08-02,jennifer.sanchez20@mail.com,2022-02-20
CUST-20021,Patricia,Garcia,2003-12-11,patricia.garcia21@mail.com,2016-06-05
CUST-20022,Andres,Torres,2001-07-19,andres.torres22@mail.com,2022-01-13
CUST-20023,David,Rodriguez,1970-06-28,david.rodriguez23@mail.com,2017-02-16
CUST-20024,Sandra,Moore,1967-08-21,sandra.moore24@mail.com,2020-05-30
CUST-20025,Elena,Johnson,,elena.johnson25@mail.com,2020-09-29
CUST-20026,Michael,Gonzalez,1985-02-18,michael.gonzalez26@mail.com,2021-09-09
CUST-20027,Susan,Rodriguez,1996-08-28,susan.rodriguez27@mail.com,2015-10-09
CUST-20028,David,Gonzalez,1992-12-31,david.gonzalez28@mail.com,2021-11-21
CUST-20029,Robert,Wilson,1969-01-20,robert.wilson29@mail.com,2015-03-09
CUST-20030,Robert,Wilson,1986-11-29,robert.wilson30@mail.com,2016-12-22
CUST-20031,Jennifer,Davis,1997-08-21,jennifer.davis31@mail.com,2019-01-23
CUST-20032,David,Ramirez,1979-09-11,david.ramirez32@mail.com,2021-07-21
CUST-20033,David,Diaz,1953-02-23,david.diaz33@mail.com,2019-01-04
CUST-20034,Jennifer,Smith,1951-11-28,jennifer.smith34@mail.com,2015-10-03
CUST-20035,Jennifer,Perez,1962-04-04,jennifer.perez35@mail.com,2021-02-14
